ema_span,vol_window,vol_mult,min_half_spread,inv_skew,pnl,sharpe,max_dd,final_pos
30,20,0.5,2.0,0.5,801.0,0.28258134712861194,-291.0,-4
5,5,1.0,1.0,0.5,409.0,0.2818640987087298,-144.0,3
10,10,1.5,1.0,0.5,476.0,0.27709797561573113,-238.0,1
10,20,1.0,3.0,0.5,303.0,0.2730042237191157,-133.0,2
30,20,2.0,3.0,1.0,326.0,0.2712678328223379,-160.0,0
30,5,2.0,2.0,0.5,442.0,0.2711851405391612,-161.0,3
30,5,2.0,1.0,0.5,442.0,0.2711851405391612,-161.0,3
20,20,2.0,1.0,1.0,327.0,0.2592099112027657,-227.0,1
20,20,2.0,2.0,1.0,327.0,0.2592099112027657,-227.0,1
20,10,2.0,2.0,0.5,300.0,0.25518868834014313,-144.0,3
20,10,2.0,1.0,0.5,300.0,0.25518868834014313,-144.0,3
5,10,1.0,1.0,0.5,308.0,0.24633684041300005,-216.0,2
30,10,2.0,2.0,0.5,374.0,0.24515808805829353,-180.0,4
30,10,2.0,1.0,0.5,374.0,0.24515808805829353,-180.0,4
20,20,1.5,2.0,1.0,376.0,0.2446090896213178,-179.0,1
30,20,2.0,2.0,1.0,306.0,0.23880088067606461,-227.0,1
20,10,2.0,3.0,0.5,262.0,0.23581921573935852,-144.0,3
20,20,2.0,2.0,0.5,341.0,0.23505543929785477,-138.0,3
20,20,2.0,1.0,0.5,341.0,0.23505543929785477,-138.0,3
30,20,2.0,1.0,1.0,299.0,0.233305782838961,-234.0,1
30,5,0.5,1.0,0.0,4933.0,0.22846110006148868,-1569.0,50
10,10,1.0,3.0,1.0,217.0,0.22547892477479178,-152.0,1
10,5,1.5,2.0,0.5,322.0,0.22540114769617897,-176.0,0
5,10,1.0,2.0,0.5,241.0,0.22125879697314252,-133.0,4
5,20,1.0,3.0,1.0,65.0,0.21872339427578308,-126.0,0
20,5,0.5,1.0,0.0,4888.0,0.20902444217593874,-1539.0,50
10,20,1.0,3.0,1.0,172.0,0.20754836029490625,-147.0,1
20,10,0.5,1.0,0.0,4980.0,0.20606491219644002,-1903.0,50
30,5,2.0,3.0,0.5,249.0,0.20509446022195496,-160.0,4
10,5,1.5,1.0,0.5,285.0,0.20488352420527184,-161.0,0
20,20,2.0,3.0,1.0,185.0,0.20472176637009892,-126.0,1
10,10,1.5,1.0,1.0,222.0,0.2003751412223971,-160.0,3
10,10,1.5,2.0,0.5,318.0,0.19971566508817554,-243.0,3
5,20,1.5,2.0,1.0,151.0,0.19951586561010448,-120.0,2
20,10,1.5,3.0,1.0,298.0,0.19923195741578853,-186.0,3
30,20,1.5,3.0,1.0,315.0,0.19858060810629338,-186.0,1
30,10,0.5,1.0,0.0,4637.0,0.19686311632176134,-1692.0,50
5,10,1.5,2.0,0.5,224.0,0.1957912684525593,-200.0,-1
20,20,1.5,1.0,1.0,305.0,0.19371052567228805,-179.0,1
5,20,1.5,1.0,1.0,145.0,0.19158606612471277,-120.0,2
5,10,1.5,1.0,0.5,219.0,0.19141982541440403,-200.0,-1
5,5,1.0,2.0,0.5,204.0,0.18978467720588396,-144.0,1
30,10,2.0,3.0,0.5,271.0,0.18905023223654185,-160.0,4
5,20,1.0,2.0,1.0,129.0,0.1881348303066311,-126.0,0
5,5,0.5,3.0,0.5,266.0,0.18757359358873732,-170.0,2
5,5,2.0,1.0,0.5,83.0,0.1862404280338965,-150.0,1
30,20,0.5,5.0,1.0,139.0,0.18593069981354723,-120.0,0
30,10,0.5,5.0,1.0,139.0,0.18593069981354723,-120.0,0
30,5,0.5,5.0,1.0,139.0,0.18593069981354723,-120.0,0
10,10,1.5,3.0,1.0,178.0,0.18482006836810078,-160.0,1
5,10,0.5,3.0,1.0,171.0,0.1822154458570546,-194.0,-4
5,20,1.0,1.0,1.0,153.0,0.18042224267030899,-146.0,1
10,10,1.5,2.0,1.0,192.0,0.17143056869659495,-160.0,3
5,5,0.5,3.0,1.0,100.0,0.1700001460612511,-190.0,0
5,10,2.0,2.0,1.0,136.0,0.16894163791746009,-144.0,1
5,10,2.0,1.0,1.0,136.0,0.16894163791746009,-144.0,1
5,5,1.5,1.0,0.5,258.0,0.16785649001467154,-187.0,2
5,10,1.5,1.0,1.0,177.0,0.16744768363637436,-170.0,1
5,5,1.5,1.0,1.0,139.0,0.16734635796003583,-118.0,1
30,5,0.5,5.0,0.5,203.0,0.16714995577966102,-160.0,1
30,10,0.5,5.0,0.5,203.0,0.16714995577966102,-160.0,1
30,20,0.5,5.0,0.5,203.0,0.16714995577966102,-160.0,1
10,20,1.5,3.0,0.5,193.0,0.1664836577314442,-182.0,0
10,20,1.5,2.0,0.5,159.0,0.1661204267505555,-189.0,2
30,20,0.5,1.0,0.0,4306.0,0.16500184298904047,-1606.0,50
20,5,2.0,3.0,0.5,120.0,0.1616783059505566,-151.0,0
30,20,1.5,5.0,1.0,147.0,0.16129927281990158,-145.0,1
5,20,0.5,3.0,1.0,178.0,0.157431010426557,-194.0,-4
30,10,2.0,2.0,1.0,269.0,0.15624669134150482,-264.0,1
10,10,2.0,2.0,0.5,178.0,0.15467934170443318,-200.0,-1
30,10,1.5,3.0,1.0,234.0,0.15182593244021775,-203.0,3
10,10,2.0,1.0,0.5,173.0,0.15033356164139777,-200.0,-1
20,10,1.5,5.0,1.0,161.0,0.1478689833111116,-160.0,3
20,20,0.5,1.0,0.0,4040.0,0.14765728527867586,-1751.0,50
30,20,1.5,2.0,1.0,239.0,0.1468077497641639,-232.0,1
20,5,2.0,1.0,0.5,197.0,0.14512281775798813,-161.0,4
20,5,2.0,2.0,0.5,197.0,0.14512281775798813,-161.0,4
20,20,2.0,3.0,0.5,126.0,0.14403241074784842,-180.0,1
5,10,1.5,2.0,1.0,144.0,0.14146930477519482,-170.0,1
30,20,0.5,2.0,0.0,3712.0,0.138231614843698,-1624.0,50
30,10,0.5,2.0,0.0,3492.0,0.13687719436152898,-1687.0,50
10,5,1.5,3.0,1.0,84.0,0.1355422815448795,-135.0,1
30,5,0.5,2.0,0.0,3640.0,0.13533533560510985,-1658.0,50
30,5,2.0,3.0,1.0,166.0,0.13220468132565702,-171.0,1
10,10,2.0,3.0,1.0,112.0,0.1271596342373131,-133.0,1
20,20,0.5,1.0,0.5,352.0,0.12700068603794443,-300.0,-3
